AID,SLID,ELID
1,557,560
2,561,564
3,565,568
4,569,572
5,573,576
6,577,580
7,581,584
8,585,588
9,589,592
10,593,596
11,597,600
12,601,604
13,605,608
14,609,612
15,613,616
16,617,620
17,621,624
18,625,628
19,629,632
20,633,636
21,637,640
22,641,644
23,645,648
24,649,652
25,653,656
26,657,660
27,661,664
28,665,678
29,679,692
30,693,706
31,707,720
32,721,729
33,730,738
34,739,747
35,748,756
36,757,765
37,766,774
38,775,783
39,784,792
40,793,801
41,802,810
42,811,819
43,820,828
44,829,837
45,838,846
46,847,860
47,861,874
48,875,889
49,890,904
50,905,919
51,920,934
52,935,943
53,944,952
54,953,961
55,962,970
56,971,979
57,980,981
58,982,983
59,984,985
60,986,987
61,988,989
62,990,991
63,992,993
64,994,995
65,996,997
66,998,1014
