AID,SLID,ELID
1,550,553
2,554,557
3,558,561
4,562,565
5,566,569
6,570,573
7,574,577
8,578,581
9,582,585
10,586,589
11,590,593
12,594,597
13,598,601
14,602,605
15,606,609
16,610,613
17,614,617
18,618,621
19,622,625
20,626,629
21,630,633
22,634,637
23,638,641
24,642,645
25,646,649
26,650,653
27,654,657
28,658,661
29,662,665
30,666,669
31,670,673
32,674,677
33,678,681
34,682,685
35,686,689
36,690,693
37,694,697
38,698,711
39,712,725
40,726,739
41,740,753
42,754,767
43,768,781
44,782,795
45,796,810
46,811,825
47,826,840
48,841,849
49,850,858
50,859,867
51,868,876
52,877,885
53,886,887
54,888,889
55,890,891
56,892,893
57,894,895
58,896,897
59,898,899
60,900,906
61,907,913
62,914,920
63,921,927
64,928,934
65,935,941
66,942,948
67,949,955
68,956,962
69,963,969
70,970,976
71,977,983
72,984,990
73,991,997
74,998,1020
